isbn13,isbn10,title,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,title_and_subtitle,tagged_description,simple_categories,anger,disgust,fear,joy,neutral,sadness,surprise,spanish_description
9780064434874,0064434877,Christmas in the Big Woods,Laura Ingalls Wilder,Juvenile Fiction,http://books.google.com/books/content?id=FT1YpUwRYykC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Long ago, a little girl named Laura Ingalls lived in a little house in the Big Woods of Wisconsin with her Pa, her Ma, her sisters, Mary and Carrie, and their good old bulldog, Jack. Winter was just around the corner, and Laura worked hard to help make the little house ready for the cold days ahead. Soon there was frost on the windows and snow on the ground, but Laura and her folks were warm and cozy in their snug little house in the Big Woods. Laura Ingalls Wilder's Little House books have been cherished by generations of readers. Now for the first time, the youngest readers can share her adventures in these very special picture books adapted from Laura Ingalls Wilder's beloved storybooks. Renée Graef's warm paintings, inspired by Garth Williams' classic Little House illustrations, bring Laura and her family lovingly to life.",1997,4.19,32,2062,Christmas in the Big Woods,"9780064434874 Long ago, a little girl named Laura Ingalls lived in a little house in the Big Woods of Wisconsin with her Pa, her Ma, her sisters, Mary and Carrie, and their good old bulldog, Jack. Winter was just around the corner, and Laura worked hard to help make the little house ready for the cold days ahead. Soon there was frost on the windows and snow on the ground, but Laura and her folks were warm and cozy in their snug little house in the Big Woods. Laura Ingalls Wilder's Little House books have been cherished by generations of readers. Now for the first time, the youngest readers can share her adventures in these very special picture books adapted from Laura Ingalls Wilder's beloved storybooks. Renée Graef's warm paintings, inspired by Garth Williams' classic Little House illustrations, bring Laura and her family lovingly to life.",Children's Fiction,0.0641336441,0.1040066779,0.05136283115,0.8472542763,0.833016336,0.1116901785,0.07882273942,"Hace mucho tiempo, una niña llamada Laura Ingalls vivía en una casita en los Grandes Bosques de Wisconsin con su papá, su mamá, sus hermanas Mary y Carrie, y su querido bulldog, Jack. El invierno estaba a la vuelta de la esquina, y Laura se esforzaba por preparar la casita para los fríos días que se avecinaban. Pronto hubo escarcha en las ventanas y nieve en el suelo, pero Laura y sus padres estaban calentitos y cómodos en su acogedora casita en los Grandes Bosques. Los libros de La Casita de Laura Ingalls Wilder han sido apreciados por generaciones de lectores. Ahora, por primera vez, los lectores más pequeños pueden compartir sus aventuras en estos libros ilustrados tan especiales, adaptados de los entrañables cuentos de Laura Ingalls Wilder. Las cálidas pinturas de Renée Graef, inspiradas en las ilustraciones clásicas de La Casita de Garth Williams, dan vida a Laura y a su familia con mucho cariño."
9780064434942,006443494X,A Little House Birthday,Laura Ingalls Wilder,Juvenile Fiction,http://books.google.com/books/content?id=fyfDRpzVoM0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Join the Ingalls family as they celebrate little Laura’s fifth birthday in the Big Woods of Wisconsin. There are special presents from everyone, and that night Laura falls asleep to the merry music of Pa’s fiddle. Renée Graef’s enchanting full-color illustrations, inspired by Garth Williams’s classic artwork, bring Laura and her family lovingly to life in our tenth My First Little House Book, adapted from Laura Ingalls Wilder’s beloved storybooks. It’s a Little House birthday to remember!",1998,4.13,40,444,A Little House Birthday,"9780064434942 Join the Ingalls family as they celebrate little Laura’s fifth birthday in the Big Woods of Wisconsin. There are special presents from everyone, and that night Laura falls asleep to the merry music of Pa’s fiddle. Renée Graef’s enchanting full-color illustrations, inspired by Garth Williams’s classic artwork, bring Laura and her family lovingly to life in our tenth My First Little House Book, adapted from Laura Ingalls Wilder’s beloved storybooks. It’s a Little House birthday to remember!",Children's Fiction,0.007925788872,0.00267598941,0.001581337652,0.9315957427,0.1538729221,0.01551686879,0.2306113243,"Acompaña a la familia Ingalls a celebrar el quinto cumpleaños de la pequeña Laura en los Grandes Bosques de Wisconsin. Hay regalos especiales de todos, y esa noche Laura se duerme con la alegre música del violín de papá. Las encantadoras ilustraciones a todo color de Renée Graef, inspiradas en las obras clásicas de Garth Williams, dan vida a Laura y a su familia con cariño en nuestro décimo libro ""Mi Primer Libro de la Casita"", adaptado de los entrañables cuentos de Laura Ingalls Wilder. ¡Un cumpleaños inolvidable en la Casita!"
9780064434980,0064434982,The Deer in the Wood,Laura Ingalls Wilder,Juvenile Fiction,http://books.google.com/books/content?id=V7YDWiHI7m4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Even the youngest child can enjoy a special adaptation of a classic Little House tale, as Laura and Mary listen to Pa talk about meeting a mother deer and her baby fawn deep in the Big Woods of Wisconsin.",1999,4.17,32,302,The Deer in the Wood,"9780064434980 Even the youngest child can enjoy a special adaptation of a classic Little House tale, as Laura and Mary listen to Pa talk about meeting a mother deer and her baby fawn deep in the Big Woods of Wisconsin.",Children's Fiction,0.0641336441,0.1040066779,0.05136283115,0.4405883551,0.5494767427,0.1116901785,0.07876550406,"Incluso el niño más pequeño puede disfrutar de una adaptación especial de un cuento clásico de La pequeña casa, mientras Laura y Mary escuchan a Pa hablar sobre su encuentro con una madre cierva y su bebé cervatillo en las profundidades de los grandes bosques de Wisconsin."
9780064435260,0064435261,A Little Prairie House,Laura Ingalls Wilder,Juvenile Fiction,http://books.google.com/books/content?id=pRSju95iidoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Long, long ago, a little girl named Laura Ingalls headed west toward the prairie with her Pa, her Ma, her sisters, Mary and Carrie, and their good old bulldog, Jack. They traveled far each day in their covered wagon, driving through tall grass until they found just the right spot for their new home. With the help of their kind neighbor, Mr. Edwards, Pa built a snug little house for the family in the middle of the wide-open prairie. Laura Ingalls Wilder's Little House books have been cherished by generations of readers. Now for the first time, the youngest readers can share her adventure in these very special picture books adapted from Laura Ingalls Wilder's beloved story-books. Renee Graef's warm paintings, inspired by Garth Williams' classic Little House illustrations, bring Laura and her family lovingly to life. Renée Graef recieved her bachelor's degree in art from the University of Wisconsin at Madison. She is the illustrator of teh paper dolls and the Kirsten books in the American Girls Collection. She is also an avid hat collector, with over 150 hats at last count. She lives in Milwaukee, Wisconsin, with her huisband, Tim, and thier children, Maggie and Maxfeild.Join the Ingalls family as they pick a special spot on the prairie and build their snug log cabin home. Their new neighbor, Mr. Edwards, comes by to help, and after the hard work is through, everyone sings and dances to the joyful music of Pa's fiddle. Renee Graef's enchanting full-color illustrations, inspired by Garth William's classic artwork, bring Laura and her family lovingly to life in this eleventh title in the My First Little House Books series, adapted from Laura Ingalls Wilder's beloved storybooks.",1999,4.19,32,1533,A Little Prairie House,"9780064435260 Long, long ago, a little girl named Laura Ingalls headed west toward the prairie with her Pa, her Ma, her sisters, Mary and Carrie, and their good old bulldog, Jack. They traveled far each day in their covered wagon, driving through tall grass until they found just the right spot for their new home. With the help of their kind neighbor, Mr. Edwards, Pa built a snug little house for the family in the middle of the wide-open prairie. Laura Ingalls Wilder's Little House books have been cherished by generations of readers. Now for the first time, the youngest readers can share her adventure in these very special picture books adapted from Laura Ingalls Wilder's beloved story-books. Renee Graef's warm paintings, inspired by Garth Williams' classic Little House illustrations, bring Laura and her family lovingly to life. Renée Graef recieved her bachelor's degree in art from the University of Wisconsin at Madison. She is the illustrator of teh paper dolls and the Kirsten books in the American Girls Collection. She is also an avid hat collector, with over 150 hats at last count. She lives in Milwaukee, Wisconsin, with her huisband, Tim, and thier children, Maggie and Maxfeild.Join the Ingalls family as they pick a special spot on the prairie and build their snug log cabin home. Their new neighbor, Mr. Edwards, comes by to help, and after the hard work is through, everyone sings and dances to the joyful music of Pa's fiddle. Renee Graef's enchanting full-color illustrations, inspired by Garth William's classic artwork, bring Laura and her family lovingly to life in this eleventh title in the My First Little House Books series, adapted from Laura Ingalls Wilder's beloved storybooks.",Children's Fiction,0.0641336441,0.1040066779,0.1670515537,0.9495689273,0.9491577744,0.1454021633,0.3724767864,"Hace mucho, mucho tiempo, una niña llamada Laura Ingalls se dirigió al oeste, hacia la pradera, con su papá, su mamá, sus hermanas Mary y Carrie, y su querido bulldog, Jack. Recorrieron largas distancias cada día en su carreta, atravesando la hierba alta hasta encontrar el lugar perfecto para su nuevo hogar. Con la ayuda de su amable vecino, el Sr. Edwards, papá construyó una acogedora casita para la familia en medio de la extensa pradera. Los libros de La Casita de Laura Ingalls Wilder han sido apreciados por generaciones de lectores. Ahora, por primera vez, los lectores más pequeños pueden compartir su aventura en estos libros ilustrados tan especiales, adaptados de los entrañables cuentos de Laura Ingalls Wilder. Las cálidas pinturas de Renée Graef, inspiradas en las clásicas ilustraciones de La Casita de Garth Williams, dan vida a Laura y a su familia con cariño. Renée Graef se licenció en Arte en la Universidad de Wisconsin en Madison. Es la ilustradora de las muñecas de papel y los libros de Kirsten de la colección American Girls. También es una ávida coleccionista de sombreros, con más de 150, según el último recuento. Vive en Milwaukee, Wisconsin, con su esposo, Tim, y sus hijos, Maggie y Maxfeild. Únete a la familia Ingalls mientras eligen un lugar especial en la pradera y construyen su acogedora cabaña de troncos. Su nuevo vecino, el Sr. Edwards, viene a ayudar, y después del arduo trabajo, todos cantan y bailan al son del violín de papá. Las encantadoras ilustraciones a todo color de Renée Graef, inspiradas en las obras clásicas de Garth William, dan vida a Laura y su familia con cariño en este undécimo título de la serie ""Mis Primeras Casitas"", adaptado de los entrañables cuentos de Laura Ingalls Wilder."
9780064440578,0064440575,Grizzwold,Syd Hoff,Juvenile Fiction,http://books.google.com/books/content?id=Sy_X4g1pvzcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Grizzwold the lovable bear is having a tough time finding somewhere to live. He's too big for most places, and too clumsy for others. He's not even any good as a live bearskin rug! Will Grizzwold ever find a home that's just right?",1984,3.8,64,206,Grizzwold,"9780064440578 Grizzwold the lovable bear is having a tough time finding somewhere to live. He's too big for most places, and too clumsy for others. He's not even any good as a live bearskin rug! Will Grizzwold ever find a home that's just right?",Children's Fiction,0.1218769401,0.5041614175,0.06205705926,0.007093560882,0.3850496709,0.5285072923,0.1281196773,"A Grizzwold, el adorable oso, le cuesta encontrar un hogar. Es demasiado grande para la mayoría de los sitios y demasiado torpe para otros. ¡Ni siquiera sirve como alfombra de piel de oso! ¿Encontrará Grizzwold alguna vez un hogar perfecto?"
9780064440950,0064440958,Chester,Syd Hoff,Juvenile Fiction,http://books.google.com/books/content?id=DiGFBC7APpYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Chester, a wild horse who wants to be tame, comes to the city looking for a home. ‘Reading for fun: the artist’s sense of pacing makes this book race along.’ —Saturday Review.",1986,3.75,64,187,Chester,"9780064440950 Chester, a wild horse who wants to be tame, comes to the city looking for a home. ‘Reading for fun: the artist’s sense of pacing makes this book race along.’ —Saturday Review.",Children's Fiction,0.0641336441,0.1040066779,0.05136283115,0.7765166163,0.8931541443,0.1116901785,0.07876550406,"Chester, un caballo salvaje que anhela ser domesticado, llega a la ciudad en busca de un hogar. «Leer por placer: el ritmo del artista impulsa este libro a un ritmo acelerado». —Saturday Review."
9780064441766,0064441768,Captain Cat,Syd Hoff,Juvenile Fiction,http://books.google.com/books/content?id=sHz4sQ3mmjwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A patriotic feline, Captain Cat springs out of bed whenever the bugle sounds and he has more stripes than any of the soldiers. But most of all, this young recruit and his best friend Pete know what it really takes to make the army a home—friendship. ‘Hoff continues his string of hits.’ —BL. ‘Hoff has maintained his deft touch with a title that’s sure to appeal to youngsters.’ —SLJ.",1994,3.66,48,107,Captain Cat,"9780064441766 A patriotic feline, Captain Cat springs out of bed whenever the bugle sounds and he has more stripes than any of the soldiers. But most of all, this young recruit and his best friend Pete know what it really takes to make the army a home—friendship. ‘Hoff continues his string of hits.’ —BL. ‘Hoff has maintained his deft touch with a title that’s sure to appeal to youngsters.’ —SLJ.",Children's Fiction,0.156422317,0.1040066779,0.05136283115,0.3215013146,0.8630801439,0.1116901785,0.1129238307,"El Capitán Gato, un felino patriota, salta de la cama cada vez que suena la corneta y tiene más galones que cualquiera de los soldados. Pero sobre todo, este joven recluta y su mejor amigo Pete saben lo que realmente se necesita para hacer del ejército un hogar: la amistad. «Hoff continúa con su racha de éxitos». —BL. «Hoff ha mantenido su toque hábil con un título que sin duda atraerá a los jóvenes». —SLJ."
9780064462044,0064462048,My Little House Crafts Book,Carolyn Strom Collins,Juvenile Nonfiction,http://books.google.com/books/content?id=lTzrsOMvcNcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Make the same pioneer crafts that Laura did! In her beloved Little House books, Laura Ingalls Wilder tells of her pioneer childhood growing up on the frontier. Because the Ingallses often lived far away from any stores, and because they had little money, Laura and her family had to make most of their own household items, using whatever materials were available. Now, with MY LITTLE HOUSE CRAFTS BOOK, you can share a part of Laura's pioneer days by learning how to make the same things that she and her family made for their little homes on the frontier. Inside this book are easy, step-by-step instructions for 18 crafts taken straight from the pages of Laura's Little House books. All you need to get started are a few simple supplies, and you're on your way to making fun and useful pioneer crafts that you'll cherish forever.",1998,4.05,64,56,My Little House Crafts Book: 18 Projects from Laura Ingalls Wilder's,"9780064462044 Make the same pioneer crafts that Laura did! In her beloved Little House books, Laura Ingalls Wilder tells of her pioneer childhood growing up on the frontier. Because the Ingallses often lived far away from any stores, and because they had little money, Laura and her family had to make most of their own household items, using whatever materials were available. Now, with MY LITTLE HOUSE CRAFTS BOOK, you can share a part of Laura's pioneer days by learning how to make the same things that she and her family made for their little homes on the frontier. Inside this book are easy, step-by-step instructions for 18 crafts taken straight from the pages of Laura's Little House books. All you need to get started are a few simple supplies, and you're on your way to making fun and useful pioneer crafts that you'll cherish forever.",Children's Nonfiction,0.0641336441,0.1040066779,0.05136283115,0.2348235101,0.9355271459,0.1116901785,0.07876550406,"¡Crea las mismas manualidades pioneras que Laura! En sus adorados libros de La Casita, Laura Ingalls Wilder relata su infancia pionera en la frontera. Como los Ingalls solían vivir lejos de las tiendas y con poco dinero, Laura y su familia tenían que confeccionar la mayoría de sus artículos para el hogar, usando cualquier material disponible. Ahora, con MI LIBRO DE MANUALIDADES DE LA CASITA, puedes compartir parte de la época pionera de Laura aprendiendo a hacer las mismas cosas que ella y su familia hicieron para sus casitas en la frontera. Este libro incluye instrucciones sencillas, paso a paso, para 18 manualidades, sacadas directamente de las páginas de los libros de La Casita de Laura. Solo necesitas unos pocos materiales sencillos para empezar, y estarás en camino de crear manualidades pioneras divertidas y útiles que atesorarás para siempre."
9780064462341,006446234X,Pioneer Girl,William Anderson,Juvenile Nonfiction,http://books.google.com/books/content?id=Sj4UDeFOOoAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The pioneer spirit lives on... Readers around the world know and love Laura, the little girl born in the Big Woods of Wisconsin and raised in covered wagons and on wide open prairies. Now Little House fans can learn more about ""Half-pint"" in this, the first picture book biography book of Laura Ingalls Wilder. With a simple, glowing text by noted historian and Little House scholar William Anderson, and glorious paintings by Dan Andreasen, Pioneer Girl is a very special portrait of a writer whose classic books and poineer adventures have made her one of the most popular literary figures in America. This picture-book biography of Laura Ingalls Wilder tells the remarkable story of the pioneer girl who would one day immortalize her adventures in the beloved Little House books. Written in simple, glowing text by noted Little House scholar William Anderson, and illustrated with glorious paintings by artist Dan Andreasen, this wonderful first biography captures the very essence of the little girl called ‘Half-pint,' whose classic books and pioneer adventures have made her one of the most popular literary figures in America. This picture-book biography of Laura Ingalls Wilder tells the remarkable story of the pioneer girl who would one day immortalize her adventures in the beloved Little House books. Written in simple, glowing text by noted Little House scholar William Anderson, and illustrated with glorious paintings by artist Dan Andreasen, this wonderful first biography captures the very essence of the little girl called ‘Half-pint,’ whose classic books and pioneer adventures have made her one of the most popular literary figures in America.",2000,4.15,32,414,Pioneer Girl: The Story of Laura Ingalls Wilder,"9780064462341 The pioneer spirit lives on... Readers around the world know and love Laura, the little girl born in the Big Woods of Wisconsin and raised in covered wagons and on wide open prairies. Now Little House fans can learn more about ""Half-pint"" in this, the first picture book biography book of Laura Ingalls Wilder. With a simple, glowing text by noted historian and Little House scholar William Anderson, and glorious paintings by Dan Andreasen, Pioneer Girl is a very special portrait of a writer whose classic books and poineer adventures have made her one of the most popular literary figures in America. This picture-book biography of Laura Ingalls Wilder tells the remarkable story of the pioneer girl who would one day immortalize her adventures in the beloved Little House books. Written in simple, glowing text by noted Little House scholar William Anderson, and illustrated with glorious paintings by artist Dan Andreasen, this wonderful first biography captures the very essence of the little girl called ‘Half-pint,' whose classic books and pioneer adventures have made her one of the most popular literary figures in America. This picture-book biography of Laura Ingalls Wilder tells the remarkable story of the pioneer girl who would one day immortalize her adventures in the beloved Little House books. Written in simple, glowing text by noted Little House scholar William Anderson, and illustrated with glorious paintings by artist Dan Andreasen, this wonderful first biography captures the very essence of the little girl called ‘Half-pint,’ whose classic books and pioneer adventures have made her one of the most popular literary figures in America.",Children's Nonfiction,0.0641336441,0.1040066779,0.05136283115,0.8092241287,0.9553576708,0.1116901785,0.2490556389,"El espíritu pionero sigue vivo... Lectores de todo el mundo conocen y adoran a Laura, la niña nacida en los Grandes Bosques de Wisconsin y criada en carros cubiertos y en amplias praderas. Ahora, los fans de La pequeña casa pueden aprender más sobre ""Half-pint"" en este libro, el primer libro biográfico ilustrado de Laura Ingalls Wilder. Con un texto sencillo y brillante del reconocido historiador y estudioso de La pequeña casa, William Anderson, y magníficas pinturas de Dan Andreasen, Pioneer Girl es un retrato muy especial de una escritora cuyos libros clásicos y aventuras pioneras la han convertido en una de las figuras literarias más populares de Estados Unidos. Esta biografía ilustrada de Laura Ingalls Wilder cuenta la extraordinaria historia de la niña pionera que un día inmortalizaría sus aventuras en los apreciados libros de La pequeña casa. Escrita en un texto simple y brillante por el reconocido erudito de La pequeña casa, William Anderson, e ilustrada con gloriosas pinturas del artista Dan Andreasen, esta maravillosa primera biografía captura la esencia misma de la niña llamada ""Half-pint"", cuyos libros clásicos y aventuras pioneras la han convertido en una de las figuras literarias más populares de Estados Unidos. Esta biografía ilustrada de Laura Ingalls Wilder cuenta la notable historia de la niña pionera que un día inmortalizaría sus aventuras en los queridos libros de La pequeña casa. Escrita en un texto simple y brillante por el reconocido erudito de La pequeña casa, William Anderson, e ilustrada con gloriosas pinturas del artista Dan Andreasen, esta maravillosa primera biografía captura la esencia misma de la niña llamada ""Half-pint"", cuyos libros clásicos y aventuras pioneras la han convertido en una de las figuras literarias más populares de Estados Unidos."
9780064471961,0064471969,Shade's Children (rack),Garth Nix,Juvenile Fiction,http://books.google.com/books/content?id=_jlglwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Key to Survival Rests in the Hands of Shade's Children In a futuristic urban wasteland, evil Overlords have decreed that no child shall live a day past his fourteenth birthday. On that Sad Birthday, the child is the object of an obscene harvest resulting in the construction of a machinelike creature whose sole purpose is to kill. The mysterious Shade -- once a man, but now more like the machines he fights -- recruits the few children fortunate enough to escape. With luck, cunning, and skill, four of Shade's children come closer than any to discovering the source of the Overlords' power -- and the key to their downfall. But the closer the children get, the more ruthless Shade seems to become ...",1998,3.9,345,10368,Shade's Children (rack),"9780064471961 The Key to Survival Rests in the Hands of Shade's Children In a futuristic urban wasteland, evil Overlords have decreed that no child shall live a day past his fourteenth birthday. On that Sad Birthday, the child is the object of an obscene harvest resulting in the construction of a machinelike creature whose sole purpose is to kill. The mysterious Shade -- once a man, but now more like the machines he fights -- recruits the few children fortunate enough to escape. With luck, cunning, and skill, four of Shade's children come closer than any to discovering the source of the Overlords' power -- and the key to their downfall. But the closer the children get, the more ruthless Shade seems to become ...",Children's Fiction,0.6875433326,0.9799204469,0.1117103174,0.07518360019,0.8760291338,0.1116901785,0.07876550406,"La clave de la supervivencia está en manos de los hijos de Shade. En un páramo urbano futurista, los malvados Señores Supremos han decretado que ningún niño vivirá un día después de cumplir catorce años. En ese triste cumpleaños, el niño es objeto de una cosecha obscena que resulta en la construcción de una criatura mecánica cuyo único propósito es matar. El misterioso Shade, una vez un hombre, pero ahora más parecido a las máquinas contra las que lucha, recluta a los pocos niños lo suficientemente afortunados como para escapar. Con suerte, astucia y habilidad, cuatro de los hijos de Shade están más cerca que nadie de descubrir la fuente del poder de los Señores Supremos y la clave para su caída. Pero cuanto más se acercan los niños, más despiadado parece volverse Shade..."
9780064472777,0064472779,All-American Girl,Meg Cabot,Juvenile Fiction,http://books.google.com/books/content?id=Fktx5yUMHpMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Top Ten Reasons Samantha Madison is in Deep Trouble 10. Her big sister is the most popular girl in school 9. Her little sister is a certified genius 8. She's in love with her big sister's boyfriend 7. She got caught selling celebrity portraits in school 6. And now she's being forced to take art classes 5. She's just saved the president of the United Statesfrom an assassination attempt 4. So the whole world thinks she is a hero 3. Even though Sam knows she is far, far from being a hero 2. And now she's been appointed teen ambassador to the UNAnd the number-one reason Sam's life is over?1. The president's son just might be in love with her",2003,3.74,398,58422,All-American Girl,"9780064472777 Top Ten Reasons Samantha Madison is in Deep Trouble 10. Her big sister is the most popular girl in school 9. Her little sister is a certified genius 8. She's in love with her big sister's boyfriend 7. She got caught selling celebrity portraits in school 6. And now she's being forced to take art classes 5. She's just saved the president of the United Statesfrom an assassination attempt 4. So the whole world thinks she is a hero 3. Even though Sam knows she is far, far from being a hero 2. And now she's been appointed teen ambassador to the UNAnd the number-one reason Sam's life is over?1. The president's son just might be in love with her",Children's Fiction,0.4950047433,0.3172376454,0.8283823729,0.6677821279,0.8883228898,0.6021012068,0.68707335,"Las diez razones principales por las que Samantha Madison está en serios problemas 10. Su hermana mayor es la chica más popular de la escuela 9. Su hermana pequeña es una genio certificada 8. Está enamorada del novio de su hermana mayor 7. La atraparon vendiendo retratos de famosos en la escuela 6. Y ahora la obligan a tomar clases de arte 5. Acaba de salvar al presidente de los Estados Unidos de un intento de asesinato 4. Así que todo el mundo piensa que es una heroína 3. Aunque Sam sabe que está muy, muy lejos de ser una heroína 2. Y ahora la han nombrado embajadora adolescente ante la ONU ¿Y la razón número uno por la que la vida de Sam ha terminado? 1. El hijo del presidente podría estar enamorado de ella"
9780064473552,0064473554,Hexwood,Diana Wynne Jones,Young Adult Fiction,http://books.google.com/books/content?id=vDTJwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Strange things happen at Hexwood Farm. From her window, Ann Stavely watches person after person disappear through the farm's gate -- and never come out again. Later, in the woods nearby, she meets a tormented sorcerer, who seems to have arisen from a centuries-long sleep. But Ann knows she saw him enter the farm just that morning. Meanwhile, time keeps shifting in the woods, where a small boy -- or perhaps a teenager -- has encountered a robot and a dragon. Long before the end of their adventure, the strangeness of Hexwood has spread from Earth right out to the center of the galaxy.",2002,3.99,464,3419,Hexwood,"9780064473552 Strange things happen at Hexwood Farm. From her window, Ann Stavely watches person after person disappear through the farm's gate -- and never come out again. Later, in the woods nearby, she meets a tormented sorcerer, who seems to have arisen from a centuries-long sleep. But Ann knows she saw him enter the farm just that morning. Meanwhile, time keeps shifting in the woods, where a small boy -- or perhaps a teenager -- has encountered a robot and a dragon. Long before the end of their adventure, the strangeness of Hexwood has spread from Earth right out to the center of the galaxy.",Fiction,0.0641336441,0.1469803154,0.2753127217,0.04056443274,0.7120064497,0.5955710411,0.7933642268,"Suceden cosas extrañas en la Granja Hexwood. Desde su ventana, Ann Stavely observa cómo una persona tras otra desaparece por la puerta de la granja... y nunca vuelve a salir. Más tarde, en el bosque cercano, se encuentra con un hechicero atormentado, que parece haber despertado de un sueño secular. Pero Ann sabe que lo vio entrar en la granja esa misma mañana. Mientras tanto, el tiempo sigue su curso en el bosque, donde un niño pequeño, o quizás un adolescente, se ha topado con un robot y un dragón. Mucho antes del final de su aventura, la extrañeza de Hexwood se ha extendido desde la Tierra hasta el centro de la galaxia."
9780066236179,0066236177,A Light in the Attic Book and CD,Shel Silverstein,Juvenile Nonfiction,http://books.google.com/books/content?id=FJfQsgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Last night while I lay thinking here Some Whatifs crawled inside my ear And pranced and partied all night long And sang their same old Whatif song: Whatif I flunk that test? Whatif green hair grows on my chest? Whatif nobody likes me? Whatif a bolt of lightning strikes me?... To celebrate its 20th anniversary, Shel Silverstein's A Light in the Attic is now available in a special edition containing the classic hardcover book and a CD of highlights from his Grammy Award-winning album. Here in the attic of Shel Silverstein you will find Backward Bill, Sour Face Ann, the Meehoo with an Exactlywatt, and the Polar Bear in the Frigidaire. You will talk with Broiled Face, and find out what happens when Somebody steals your knees, you get caught by the Quick-Digesting Gink, a Mountain snores, and They Put a Brassiere on the Camel. From the creator of the beloved poetry collections Where the Sidewalk Ends and Falling Up, here is another wondrous book of poems and drawings.",2001,4.34,176,590,A Light in the Attic Book and CD,"9780066236179 Last night while I lay thinking here Some Whatifs crawled inside my ear And pranced and partied all night long And sang their same old Whatif song: Whatif I flunk that test? Whatif green hair grows on my chest? Whatif nobody likes me? Whatif a bolt of lightning strikes me?... To celebrate its 20th anniversary, Shel Silverstein's A Light in the Attic is now available in a special edition containing the classic hardcover book and a CD of highlights from his Grammy Award-winning album. Here in the attic of Shel Silverstein you will find Backward Bill, Sour Face Ann, the Meehoo with an Exactlywatt, and the Polar Bear in the Frigidaire. You will talk with Broiled Face, and find out what happens when Somebody steals your knees, you get caught by the Quick-Digesting Gink, a Mountain snores, and They Put a Brassiere on the Camel. From the creator of the beloved poetry collections Where the Sidewalk Ends and Falling Up, here is another wondrous book of poems and drawings.",Children's Nonfiction,0.4046885669,0.6727645397,0.1240999848,0.7155405283,0.7432041764,0.1116901785,0.3551976383,"Anoche mientras yacía pensando aquí Algunos Whatifs se arrastraron dentro de mi oído Y saltaron y festejaron toda la noche Y cantaron su misma vieja canción Whatif: ¿Qué pasa si repruebo ese examen? ¿Qué pasa si me crece pelo verde en el pecho? ¿Qué pasa si no le gusto a nadie? ¿Qué pasa si me cae un rayo? ... Para celebrar su 20 aniversario, A Light in the Attic de Shel Silverstein ahora está disponible en una edición especial que contiene el clásico libro de tapa dura y un CD con los momentos destacados de su álbum ganador del Premio Grammy. Aquí en el ático de Shel Silverstein encontrarás a Backward Bill, Sour Face Ann, el Meehoo con un Exactlywatt y el Oso Polar en el Frigidaire. Hablarás con Broiled Face y descubrirás qué sucede cuando Alguien te roba las rodillas, te atrapa el Gink de digestión rápida, una Montaña ronca y Le ponen un sostén al Camello. Del creador de las apreciadas colecciones de poesía Where the Sidewalk Ends y Falling Up, aquí hay otro maravilloso libro de poemas y dibujos."
